CITY,ACTIVE,FED_RSSD,CERT,STALP,NAME,ID,ASSET
Sanford,0,112109,10,ME,Northeast Bank of Sanford,10,
Bentonville,0,105549,100,AR,Bank of Bentonville,100,712714
Wheeling,0,600129,10002,WV,"Progressive Bank, National Association",10002,338215
White Sulphur Springs,0,794831,10003,WV,First Citizens Bank & Trust Company,10003,126549
Markesan,1,599643,10004,WI,Ergo Bank,10004,263059
Green Bay,0,736943,10005,WI,"Valley Bank, Green Bay",10005,227248
Jefferson,0,533245,10006,WI,Jefferson County Bank,10006,64216
Cedarburg,0,284248,10007,WI,Partnership Bank,10007,310272
Elkhart Lake,0,531540,10008,WI,Bank of Elkhart Lake,10008,18781
Delafield,0,665043,10009,WI,"Bank One, Waukesha",10009,711480
Mason,0,49344,1001,MI,Mason State Bank,1001,114443
Monroe,1,93244,10011,WI,Woodford State Bank,10011,509650
Almond,1,12647,10012,WI,The Portage County Bank,10012,212581
Beaver Dam,0,206240,10013,WI,"Bank One, Beaver Dam",10013,274783
Coloma,0,182746,10014,WI,M&I Peoples Bank,10014,118827
New Auburn,1,20053,10015,WI,Security Bank,10015,241081
Prairie Farm,0,48851,10016,WI,First State Bank of Prairie Farm,10016,16016
Oxford,0,715425,10018,NC,The Union National Bank of Oxford,10018,87518
Rochester,0,469205,10022,NH,BankEast National Bank,10022,
Springfield,0,237646,10025,IL,Mercantile Bank of Illinois,10025,2074657
Monticello,0,959742,10026,IL,National Bank of Monticello,10026,78099
Island Pond,0,453400,10029,VT,The Island Pond National Bank,10029,
Detroit,0,542649,1003,MI,Chemical Bank,1003,22460247
Blairsville,0,370329,10030,PA,Blairsville National Bank,10030,
Albion,0,107226,10032,PA,Community National Bank of Norwestern Pennsylvania,10032,73733
Ashland,0,566159,10035,WI,M&I Bank of Ashland,10035,88984
Sycamore,0,534345,10036,IL,The National Bank & Trust Company of Sycamore,10036,632842
Wyandotte,0,270241,10037,MI,Charter Bank,10037,354586
Liberty,0,821054,10038,MO,"Commercial Bank of Liberty, N. A.",10038,82075
Mount Pleasant,0,72043,1004,MI,First America Bank - Mt. Pleasant,1004,83360
Attica,0,378642,10040,IN,The Central National Bank and Trust Company,10040,54266
Onancock,0,587024,10042,VA,First Virginia Bank - Eastern Shore,10042,59763
Fond Du Lac,1,722544,10044,WI,National Exchange Bank and Trust,10044,2933056
West Union,0,978239,10045,WV,"Cornerstone Bank, Inc.",10045,194797
Yonkers,0,496818,10046,NY,First National Bank in Yonkers,10046,
Carrollton,0,901312,10047,OH,The First National Bank at Carrollton,10047,
Mount Pleasant,1,74140,1005,MI,Isabella Bank,1005,2203614
Acworth,0,145031,10051,GA,Bank of Acworth,10051,
Butler,0,108634,10052,GA,Southland Bank,10052,62426
Gainesville,0,561136,10053,GA,Central and Southern Bank of North Georgia,10053,103779
Hiawassee,0,506838,10054,GA,Bank of Hiawassee,10054,377779
Waycross,1,631039,10055,GA,First Southern Bank,10055,334787
Rochelle,0,825735,10056,GA,Colony Bank Wilcox,10056,54379
Sparta,1,37,10057,GA,Bank of Hancock County,10057,84575
Marietta,0,753333,10058,GA,NBG Cobb Bank,10058,
Dublin,0,57134,10059,GA,Farmers & Merchants Bank,10059,390176
New Baltimore,0,84345,1006,MI,Citizens State Bank,1006,168551
Pinehurst,0,894432,10061,GA,Bank of Pinehurst,10061,
Americus,0,14137,10063,GA,The Bank of Commerce,10063,
Cedartown,0,570839,10064,GA,The Commercial National Bank,10064,46765
Fort Valley,0,797234,10066,GA,The Citizens Bank,10066,118568
Stapleton,0,263430,10067,GA,Bank of Stapleton,10067,15164
Union Point,0,163633,10069,GA,Bank of Union Point,10069,
New Haven,0,376741,1007,MI,New Haven Savings Bank,1007,
Atlanta,0,849638,10070,GA,The Hamilton Bank and Trust Company,10070,
Canton,0,135537,10071,GA,Etowah Bank,10071,417469
Camilla,1,132938,10072,GA,Planters and Citizens Bank,10072,145493
Valdosta,0,103536,10073,GA,First State Bank and Trust Company of Valdosta,10073,578096
Cleveland,1,102333,10074,GA,Apex Banking Company of Georgia,10074,73232
Colfax,1,33839,10075,IL,Peoples State Bank of Colfax,10075,47037
Emden,1,860231,10077,IL,Farmers State Bank of Emden,10077,38322
Brooklyn,1,382742,1008,MI,Bank Michigan,1008,159724
Reynolds,0,934646,10080,IL,Reynolds State Bank,10080,108220
Shelbyville,0,234944,10082,IL,First Trust Bank of Shelbyville,10082,75289
Somonauk,0,402949,10083,IL,Farmers State Bank of Somonauk,10083,210403
Stonefort,0,251343,10084,IL,Saline County State Bank,10084,16621
Farmersville,0,264147,10085,IL,State Bank of Farmersville,10085,13771
Western Springs,0,199940,10086,IL,Western Springs National Bank and Trust,10086,186677
Crown Point,0,91745,10088,IN,The Commercial Bank,10088,77075
Troy,0,795445,1009,MI,First of America Bank-Wayne Oakland,1009,713392
Jeffersonville,0,171946,10091,IN,INB Banking Company,10091,644454
Osgood,0,83245,10092,IN,The Ripley County Bank,10092,102779
Greensburg,0,501440,10093,IN,Union Bank and Trust Company of Indiana,10093,352662
Brownstown,0,191243,10094,IN,The Citizens State Bank,10094,29049
Goshen,0,499640,10096,IN,"Society Bank, Goshen",10096,314488
Washington,0,953142,10099,IN,United Southwest Bank,10099,219795
Prescott,0,967943,101,AR,Bank of Prescott,101,68173
Columbus,0,130943,10100,IN,Irwin Union Bank and Trust Company,10100,2839747
Napoleon,1,944047,10101,IN,The Napoleon State Bank,10101,507010
Peru,0,1011348,10104,IN,First of America Bank-Wabash Valley,10104,99001
Vincennes,0,895149,10106,IN,Alliance Bank,10106,117180
Twelve Mile,0,702649,10107,IN,The Twelve Mile State Bank,10107,
Waldron,0,843047,10108,IN,The State Bank of Waldron,10108,40553
Wyatt,0,816845,10109,IN,Farmers State Bank of Wyatt,10109,85305
St. Clair,0,951148,1011,MI,The Commercial and Savings Bank of St. Clair County,1011,256850
Cascade,1,761543,10111,IA,Ohnward Bank & Trust,10111,489249
Cedar Rapids,0,769549,10112,IA,"Mercantile Bank of Cedar Rapids, Iowa",10112,220743
Cherokee,0,802848,10113,IA,Central Trust and Savings Bank,10113,66379
Tipton,0,772240,10114,IA,Community State Bank,10114,118245
Dows,0,595243,10115,IA,Farmers State Bank of Dows,10115,17735
Early,0,676647,10116,IA,Early Savings Bank,10116,12890
Pella,1,936640,10118,IA,Leighton State Bank,10118,293411
Cedar Rapids,0,672742,10119,IA,Hills Bank,10119,62764
Sebewaing,0,833048,1012,MI,First of America Bank-Bay Area,1012,31232
Lowden,1,675341,10120,IA,American Trust and Savings Bank,10120,28689
Durant,1,644646,10121,IA,Liberty Trust & Savings Bank,10121,182910
Traer,1,368344,10122,IA,Farmers Savings Bank & Trust,10122,232530
Coralville,0,84046,10123,IA,First Trust and Savings Bank,10123,52641
Bellevue,0,737249,10124,IA,Andrew Savings Bank,10124,31347
Anamosa,1,758842,10125,IA,Citizens Savings Bank,10125,175037
Bennett,0,854445,10126,IA,Bennett State Bank,10126,38705
Bloomfield,1,179148,10127,IA,Success Bank,10127,267113
Wesley,0,135546,10129,IA,Exchange State Bank,10129,
South Haven,0,382340,1013,MI,Citizens Trust and Savings Bank,1013,206637
Humboldt,0,919942,10130,IA,Bank Iowa,10130,171523
Washington,0,440446,10131,IA,West Chester Savings Bank,10131,45716
Ames,1,805045,10132,IA,Exchange State Bank,10132,146440
Keokuk,0,746148,10133,IA,"Norwest Bank Keokuk, National Association",10133,32739
Cadiz,0,975649,10135,KY,Trigg County Farmers Bank,10135,93070
Georgetown,0,607511,10136,KY,"The Farmers Bank and Trust Company of Georgetown, Kentucky",10136,347923
Grayson,1,812614,10137,KY,The Commercial Bank of Grayson,10137,244276
Madisonville,0,329644,10139,KY,Citizens Bank of Kentucky,10139,790248
Sparta,1,324340,1014,MI,ChoiceOne Bank,1014,4391138
Florence,0,747015,10141,KY,Huntington National Bank of Boone County,10141,57812
Kevil,0,634946,10142,KY,The Kevil Bank,10142,32130
Lexington,0,630210,10143,KY,"Bank One, Lexington, National Association",10143,1604903
Millersburg,0,724016,10144,KY,Farmers Exchange Bank,10144,23142
Munfordville,1,456344,10145,KY,Hart County Bank and Trust Company,10145,24001
Louisville,0,189044,10146,KY,Commonwealth Bank and Trust Company,10146,1299520
Springport,0,389143,10150,MI,Springport State Savings Bank,10150,
Grand Rapids,0,737847,10153,MI,"NBD Grand Rapids, National Association",10153,1335896
White Cloud,0,4549,10155,MI,"The First State Bank, White Cloud, Michigan",10155,36417
Shelby,1,961343,10157,MI,The Shelby State Bank,10157,391544
Bayport,1,144856,10159,MN,First State Bank and Trust,10159,471002
Traverse City,0,230544,1016,MI,Old Kent Bank-Grand Traverse,1016,450147
Holdingford,1,1011656,10160,MN,VersaBank USA National Association,10160,782851
Isanti,0,907257,10161,MN,"Landmark Community Bank, National Association",10161,78338
Le Roy,1,60554,10162,MN,First State Bank Minnesota,10162,105200
Marine On St. Croix,1,990053,10163,MN,Security State Bank of Marine,10163,235431
Long Prairie,0,96357,10164,MN,Lake Country State Bank,10164,74501
Pierz,1,728957,10165,MN,Farmers and Merchants State Bank of Pierz,10165,330978
Prior Lake,0,848752,10166,MN,Prior Lake State Bank,10166,209831
Roseau,1,822051,10167,MN,Citizens State Bank of Roseau,10167,286018
Cannon Falls,1,217059,10168,MN,First Farmers & Merchants Bank,10168,473457
Becker,1,198251,10169,MN,Sherburne State Bank,10169,343385
Williamston,0,432245,1017,MI,Republic Bank - Central,1017,90921
Winsted,0,810151,10170,MN,Flagship Bank Winsted,10170,39053
Avon,0,362753,10171,MN,Avon State Bank,10171,108858
Fairfax,0,44358,10172,MN,Fidelity State Bank of Fairfax,10172,26088
Altura,0,330453,10173,MN,Altura State Bank,10173,48170
Underwood,1,865852,10174,MN,Farmers State Bank of Underwood,10174,111995
Hibbing,1,950356,10175,MN,Security State Bank of Hibbing,10175,146163
Kerkhoven,0,88950,10176,MN,Financial Security Bank,10176,149734
Clara City,0,153456,10177,MN,Americana State Bank of Clara City,10177,8095
Hollandale,1,24659,10178,MN,Produce State Bank,10178,110591
Belgrade,0,393850,10179,MN,North American State Bank,10179,96782
Burlington,0,519548,1018,WI,M&I Bank of Burlington,1018,241111
Onalaska,0,954550,10181,WI,"Merchants Bank, National Association",10181,25193
Stillwater,0,187152,10182,MN,"Norwest Bank Stillwater, National Association",10182,55050
Cook,0,117252,10183,MN,"Farmers and Merchants State Bank of Cook, Incorporated",10183,9759
Clarkfield,0,114251,10184,MN,F & M Bank Minnesota,10184,156998
Elysian,1,13251,10185,MN,Elysian Bank,10185,78786
Fertile,0,16953,10186,MN,First State Bank of Fertile,10186,36577
Gonvick,1,75455,10187,MN,The Northern State Bank of Gonvick,10187,53476
Hutchinson,0,771654,10188,MN,First Bank of Minnesota,10188,20573
Stillwater,0,204255,10189,MN,Cosmopolitan State Bank of Stillwater,10189,47092
Prinsburg,1,787459,10191,MN,PrinsBank,10191,296243
Cambridge,0,151751,10192,MN,Peoples Bank of Commerce,10192,301679
Erhard,0,14856,10193,MN,Erhard State Bank,10193,2548
Pine River,1,729057,10194,MN,Pine River State Bank,10194,183686
Caledonia,0,369958,10195,MN,Community First National Bank of Caledonia,10195,44746
Crookston,0,374354,10196,MN,Northern Sky Bank,10196,90566
Cyrus,1,156457,10197,MN,Hometown Community Bank,10197,103054
Delano,0,283858,10198,MN,State Bank of Delano,10198,93620
Ellsworth,0,12357,10199,MN,Ellsworth State Bank,10199,33320
Paragould,0,589046,102,AR,Security Bank,102,116636
Milwaukee,0,983448,1020,WI,M&I Marshall and Ilsley Bank,1020,44975270
Jeffers,1,1014255,10200,MN,State Bank of Jeffers,10200,39845
