OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790378981424|17001000100|Census Tract 1|14087146|22042|G5020|S|20740378981424|17001000100|Census Tract 1|12937185|22042|G5020|S|12937185|22042
20790378981424|17001000100|Census Tract 1|14087146|22042|G5020|S|20740378981380|17001010400|Census Tract 104|176820610|266684|G5020|S|1149961|0
20790378981638|17001000201|Census Tract 2.01|3206319|0|G5020|S|20740378981638|17001000201|Census Tract 2.01|3206319|0|G5020|S|3206319|0
20790378981662|17001000202|Census Tract 2.02|1514956|0|G5020|S|20740378981662|17001000202|Census Tract 2.02|1514956|0|G5020|S|1514956|0
20790378981498|17001000400|Census Tract 4|4443142|218277|G5020|S|20740378981498|17001000400|Census Tract 4|4457995|218144|G5020|S|4441268|218144
20790378981498|17001000400|Census Tract 4|4443142|218277|G5020|S|20740378981441|17001010500|Census Tract 105|48669028|10836053|G5020|S|1874|133
20790378981685|17001000500|Census Tract 5|1262517|0|G5020|S|20740378981685|17001000500|Census Tract 5|1262517|0|G5020|S|1262517|0
20790378981710|17001000600|Census Tract 6|2730589|0|G5020|S|20740378981710|17001000600|Census Tract 6|2730589|0|G5020|S|2730589|0
20790378981523|17001000700|Census Tract 7|1356914|237048|G5020|S|20740378981523|17001000700|Census Tract 7|1356914|237048|G5020|S|1356914|237048
20790378981544|17001000800|Census Tract 8|2367424|970318|G5020|S|20740378981544|17001000800|Census Tract 8|2367424|970318|G5020|S|2367424|970318
20790378981562|17001000900|Census Tract 9|1797932|0|G5020|S|20740378981562|17001000900|Census Tract 9|1797932|0|G5020|S|1797932|0
20790378981734|17001001001|Census Tract 10.01|1629646|0|G5020|S|20740378981734|17001001001|Census Tract 10.01|1629646|0|G5020|S|1629646|0
20790378981585|17001001002|Census Tract 10.02|3076715|0|G5020|S|20740378981585|17001001002|Census Tract 10.02|3076715|0|G5020|S|3076715|0
20790378981610|17001001100|Census Tract 11|12840511|0|G5020|S|20740378981610|17001001100|Census Tract 11|12840511|0|G5020|S|12840511|0
20790378981478|17001010100|Census Tract 101|574561437|17611730|G5020|S|20740378981478|17001010100|Census Tract 101|574481493|17611730|G5020|S|574461411|17611730
20790378981478|17001010100|Census Tract 101|574561437|17611730|G5020|S|20740378981402|17001010200|Census Tract 102|387570888|276967|G5020|S|94508|0
20790378981478|17001010100|Census Tract 101|574561437|17611730|G5020|S|20740378981380|17001010400|Census Tract 104|176820610|266684|G5020|S|963|0
20790378981478|17001010100|Census Tract 101|574561437|17611730|G5020|S|20740200166348|17067954200|Census Tract 9542|348454723|15185363|G5020|S|4555|0
20790378981402|17001010200|Census Tract 102|387454770|276962|G5020|S|20740378981478|17001010100|Census Tract 101|574481493|17611730|G5020|S|3892|0
20790378981402|17001010200|Census Tract 102|387454770|276962|G5020|S|20740378981402|17001010200|Census Tract 102|387570888|276967|G5020|S|387450878|276962
2079015504284891|17001010301|Census Tract 103.01|472642720|1092895|G5020|S|20740378981402|17001010200|Census Tract 102|387570888|276967|G5020|S|25502|5
