table,rows,columns,kb
branch_performance,162,20,23.4
bridge_branch_catchment,3322,6,136.2
dim_branch,6467,17,974.4
dim_institution,699,5,41.8
dim_tract,4807,19,825.8
dim_year,7,2,0.1
fact_branch_deposits,39315,4,1033.3
fact_county_deposit_growth,174,7,7.3
fact_index_components,23665,4,1020.6
fact_tract_competition,4807,7,206.8
lmi_coverage,3,10,0.5
market_share,1216,12,68.6
opportunity_index,4807,23,828.1
recommended_coverage,5577,3,167.1
recommended_sites,6,10,0.8
ref_index_weights,20,5,1.0
tract_capture_rate,4764,16,541.9
unmet_demand,4764,22,833.2
