uninumbr,city,state,tracts,tracts_suppressed,households,actual_deposits,predicted_deposits,performance_index,index_size_adjusted,size_quartile,cagr_3y_pct,diagnosis,market,market_branch_count,index_vs_network,catchment_partly_unmeasured,branch_relocated,county_disputed,booking_concentration
626870,Green Bay,WI,6,0,10863.0,5316000,185381367.0,0.0287,0.0371,2,85.93,"poor level, positive trajectory",24580,10,0.0688,False,False,False,False
589987,Chicago,IL,78,2,146810.0,10741000,525906878.0,0.0204,0.0491,4,-0.45,poor level AND poor trajectory,16980,17,0.0078,True,False,False,False
276672,Milwaukee,WI,37,3,34992.0,8956000,401515030.0,0.0223,0.0536,4,0.61,"poor level, positive trajectory",33340,37,0.0374,True,False,False,False
590585,Chicago,IL,111,9,110339.0,13230000,297205057.0,0.0445,0.1071,4,5.24,"poor level, positive trajectory",16980,17,0.017,True,False,False,False
582224,Milwaukee,WI,3,1,3450.0,29018000,58565914.0,0.4955,0.3126,1,,"poor level, trajectory unknown",33340,37,0.8317,True,False,False,False
285094,Wisconsin Rapids,WI,9,0,18459.0,71812000,222036093.0,0.3234,0.32,3,10.34,"poor level, positive trajectory",49220,3,0.5857,False,False,False,False
271772,Milwaukee,WI,11,0,19439.0,43012000,220189901.0,0.1953,0.3203,3,-6.19,poor level AND poor trajectory,33340,37,0.3279,False,False,False,False
41589,New London,WI,19,0,37773.0,53165000,308343734.0,0.1724,0.3437,4,-0.0,poor level AND poor trajectory,RURAL-WI,17,0.1716,False,False,False,False
272028,Hudson,WI,3,0,5899.0,118424000,215941308.0,0.5484,0.346,1,1.72,"poor level, positive trajectory",33460,4,2.0328,False,False,False,False
271771,Milwaukee,WI,33,1,36741.0,41118000,283472021.0,0.1451,0.3489,4,21.84,"poor level, positive trajectory",33340,37,0.2435,True,False,False,False
233283,Schofield,WI,6,0,11833.0,85412000,294259695.0,0.2903,0.3751,2,20.2,"poor level, positive trajectory",48140,2,0.9246,False,False,False,False
276674,Milwaukee,WI,24,1,24659.0,30922000,197444707.0,0.1566,0.3767,4,3.54,"poor level, positive trajectory",33340,37,0.2629,True,False,False,False
