tract_geoid,uninumbr,branch_tier,distance_miles,is_primary,is_subject_bank
17031010100,589987,metro,0.355,True,True
17031010201,589987,metro,0.305,True,True
17031010202,589987,metro,0.118,True,True
17031010300,589987,metro,0.423,True,True
17031010400,589987,metro,1.221,True,True
17031010501,589987,metro,0.78,True,True
17031010502,589987,metro,1.069,True,True
17031010503,589987,metro,1.329,True,True
17031010600,589987,metro,0.855,True,True
17031010701,589987,metro,0.617,True,True
17031010702,589987,metro,0.596,True,True
17031020100,589987,metro,0.654,True,True
17031020200,589987,metro,1.283,True,True
17031020301,589987,metro,1.732,True,True
17031020302,589987,metro,1.215,True,True
17031020400,589987,metro,0.854,True,True
17031020500,589987,metro,1.228,True,True
17031020601,589987,metro,1.81,True,True
17031020602,589987,metro,1.489,True,True
17031020701,589987,metro,2.597,True,True
17031020701,13400,metro,3.418,False,True
17031020702,589987,metro,2.246,True,True
17031020801,589987,metro,2.363,True,True
17031020802,589987,metro,1.926,True,True
17031020901,589987,metro,1.722,True,True
17031020902,589987,metro,1.629,True,True
17031030101,589987,metro,2.087,True,True
17031030102,589987,metro,1.947,True,True
17031030103,589987,metro,1.842,True,True
17031030104,589987,metro,1.705,True,True
17031030200,589987,metro,1.672,True,True
17031030300,589987,metro,1.609,True,True
17031030400,589987,metro,2.127,True,True
17031030500,589987,metro,2.161,True,True
17031030601,589987,metro,2.226,True,True
17031030603,589987,metro,2.374,True,True
17031030604,589987,metro,2.459,True,True
17031030701,589987,metro,2.56,True,True
17031030702,589987,metro,2.747,True,True
17031030703,589987,metro,2.817,True,True
17031030706,589987,metro,2.845,True,True
17031030800,589987,metro,2.665,True,True
17031030900,589987,metro,2.625,True,True
17031031000,589987,metro,3.137,True,True
17031031100,589987,metro,3.163,True,True
17031031200,589987,metro,3.235,True,True
17031031300,589987,metro,3.409,True,True
17031040100,589987,metro,2.405,True,True
17031040201,589987,metro,3.277,True,True
17031040202,589987,metro,2.801,True,True
17031040300,589987,metro,3.157,True,True
17031040300,13400,metro,3.419,False,True
17031040401,589987,metro,3.212,True,True
17031040402,589987,metro,3.132,True,True
17031070103,557730,metro,3.24,True,True
17031070200,557730,metro,3.41,True,True
17031070300,557730,metro,3.442,True,True
17031070400,557730,metro,3.487,True,True
17031071000,557730,metro,2.995,True,True
17031071100,557730,metro,2.943,True,True
17031071200,557730,metro,2.91,True,True
17031071300,557730,metro,2.889,True,True
17031071400,557730,metro,2.963,True,True
17031071500,557730,metro,2.503,True,True
17031071600,557730,metro,2.519,True,True
17031071700,557730,metro,2.269,True,True
17031071800,557730,metro,2.407,True,True
17031080100,557730,metro,2.015,True,True
17031080201,557730,metro,2.085,True,True
17031080202,557730,metro,1.84,True,True
17031080300,557730,metro,1.906,True,True
17031080400,557730,metro,1.889,True,True
17031081000,557730,metro,1.449,True,True
17031081100,557730,metro,1.496,True,True
17031081201,557730,metro,1.492,True,True
17031081202,557730,metro,2.027,True,True
17031081300,557730,metro,1.597,True,True
17031081401,557730,metro,1.461,True,True
17031081402,557730,metro,1.819,True,True
17031081403,557730,metro,1.75,True,True
17031081500,557730,metro,1.108,True,True
17031081600,557730,metro,1.002,True,True
17031081700,557730,metro,0.921,True,True
17031081800,557730,metro,0.912,True,True
17031081900,557730,metro,1.236,True,True
17031090200,13400,metro,3.064,True,True
17031090300,13400,metro,2.918,True,True
17031100100,13400,metro,1.198,True,True
17031100200,13400,metro,1.898,True,True
17031100300,13400,metro,2.02,True,True
17031100400,13400,metro,2.676,True,True
17031100500,13400,metro,2.607,True,True
17031100600,13400,metro,1.479,True,True
17031100700,13400,metro,1.496,True,True
17031110100,13400,metro,0.808,True,True
17031110200,13400,metro,0.375,True,True
17031110300,13400,metro,0.738,True,True
17031110400,13400,metro,0.28,True,True
17031110501,13400,metro,0.362,True,True
17031110502,13400,metro,0.601,True,True
17031120100,13400,metro,1.842,True,True
17031120200,13400,metro,1.418,True,True
17031120300,13400,metro,1.812,True,True
17031120400,13400,metro,0.857,True,True
17031130100,13400,metro,2.674,True,True
17031130100,589987,metro,2.993,False,True
17031130200,13400,metro,1.711,True,True
17031130300,589987,metro,2.927,True,True
17031130300,13400,metro,2.93,False,True
17031140100,13400,metro,3.241,True,True
17031140200,13400,metro,2.877,True,True
17031140301,13400,metro,2.38,True,True
17031140302,13400,metro,2.317,True,True
17031140400,13400,metro,1.558,True,True
17031140500,13400,metro,2.028,True,True
17031140601,13400,metro,2.33,True,True
17031140602,13400,metro,2.566,True,True
17031140701,13400,metro,2.938,True,True
17031140702,13400,metro,2.953,True,True
17031140800,13400,metro,3.47,True,True
17031150200,13400,metro,1.349,True,True
17031150300,13400,metro,1.119,True,True
17031150401,13400,metro,0.805,True,True
17031150402,13400,metro,1.336,True,True
17031150501,13400,metro,1.039,True,True
17031150502,13400,metro,1.485,True,True
17031150600,13400,metro,1.841,True,True
17031150700,13400,metro,1.86,True,True
17031150800,13400,metro,2.01,True,True
17031151001,13400,metro,2.443,True,True
17031151002,13400,metro,2.572,True,True
17031151100,13400,metro,2.363,True,True
17031151200,13400,metro,2.347,True,True
17031160100,13400,metro,1.544,True,True
17031160200,13400,metro,1.957,True,True
17031160300,13400,metro,2.332,True,True
