uninumbr,cert,institution_name,address,city,state,county_fips,latitude,longitude,tract_geoid,service_type,is_main_office,first_year,last_year,drift_kind,position_drift_miles,county_agrees,validity,is_subject_bank,index_size_adjusted,index_raw,diagnosis,market,cagr_3y_pct,actual_deposits,predicted_deposits,catchment_households,booking_concentration,catchment_partly_unmeasured
356716,10012,Portage County Bank,220 West North Lake Street,Hancock,WI,55137,44.133314,-89.521166,55137960400,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
480916,11063,First-Citizens Bank & Trust Company,8200 West Brown Deer Road,Milwaukee,WI,55079,43.177958,-88.012313,55079000101,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
225237,11601,Laona State Bank,Highway 32 And Evergreen Lane,Lakewood,WI,55083,45.30141,-88.535939,55083100300,23,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
7420,11623,The Greenwood's State Bank,238 North Main Street,Monticello,WI,55045,42.747541,-89.594253,55045960100,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
489600,12514,Ixonia Bank,"Village Square Drive, 3201 Village Square Drive",Hartland,WI,55133,43.14402,-88.344959,55133203501,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
9278,12923,"Bremer Bank, National Association",301 Bremer Avenue,Colfax,WI,55033,44.991494,-91.728869,55033970300,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
4178,12923,"Bremer Bank, National Association",109 Wisconsin Avenue North,Frederic,WI,55095,45.6594,-92.46624,55095960100,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
40240,13023,Wisconsin Bank & Trust,604 North 8th Street,Sheboygan,WI,55117,43.751206,-87.712919,55117011400,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
228790,13033,The Farmers State Bank of Waupaca,N2701 County Road Qq,Waupaca,WI,55135,44.337606,-89.141939,55135100600,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
208933,14843,MidWestOne Bank,1925 Main Street,Hazel Green,WI,55043,42.531991,-90.434717,55043961200,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
430072,15091,State Bank of Cross Plains,744 North Main Street,Oregon,WI,55025,42.937064,-89.383405,55025012502,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
237540,16160,Waukesha State Bank,2501 Summit Avenue,Waukesha,WI,55133,43.021515,-88.26538,55133203106,29,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
362472,16160,Waukesha State Bank,700 Quinlan Dr.,Pewaukee,WI,55133,43.091063,-88.273659,55133203303,29,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
237534,16160,Waukesha State Bank,3000 North Grandview Boulevard,Waukesha,WI,55133,43.049488,-88.255594,55133203305,23,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
237535,16160,Waukesha State Bank,1810 Kensington Drive,Waukesha,WI,55133,43.001939,-88.257369,55133202203,29,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
228768,16571,BMO Harris Bank National Association,11077 West Forest Home Avenue,Hales Corners,WI,55079,42.931212,-88.051987,55079130200,23,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
228777,16571,BMO Harris Bank National Association,19105 West Capital Drive,Brookfield,WI,55133,43.090444,-88.15036,55133200803,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
8105,16571,BMO Harris Bank National Association,201 Main Street,Reedsburg,WI,55111,43.532522,-90.008067,55111001003,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
45587,16571,BMO Harris Bank National Association,500 Cherry Avenue,Oconto Falls,WI,55083,44.880189,-88.142501,55083101200,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
233277,16571,BMO Harris Bank National Association,1300 Business Highway 18-151 East,Mount Horeb,WI,55025,43.010138,-89.719456,55025012800,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
289247,16571,BMO Harris Bank National Association,5300 South Howell,Milwaukee,WI,55079,42.947781,-87.90955,55079021700,12,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
270069,16571,BMO Harris Bank National Association,9210 W North Avenue,Wauwatosa,WI,55079,43.06054,-88.027596,55079090700,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
46943,16571,BMO Harris Bank National Association,5935 Seventh Avenue,Kenosha,WI,55059,42.581582,-87.818943,55059001000,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
277588,16571,BMO Harris Bank National Association,2315 South Business Drive,Sheboygan,WI,55117,43.729604,-87.731041,55117001000,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
7841,16571,BMO Harris Bank National Association,123 Main Street,Casco,WI,55061,44.559391,-87.608443,55061960402,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
8244,16571,BMO Harris Bank National Association,100 Wisconsin Avenue,Denmark,WI,55009,44.347957,-87.826542,55009020600,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
232582,16571,BMO Harris Bank National Association,206 Airport Road,Shawano,WI,55115,44.789414,-88.568571,55115100400,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
234683,16571,BMO Harris Bank National Association,132 East Main Street,Hortonville,WI,55087,44.334722,-88.637313,55087012700,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
9915,16571,BMO Harris Bank National Association,101 North Main Street,Black Creek,WI,55087,44.473823,-88.451041,55087012800,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
7847,16571,BMO Harris Bank National Association,1820 Wisconsin Avenue,New Holstein,WI,55015,43.949824,-88.088364,55015020600,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
14525,16571,BMO Harris Bank National Association,1305 North Central Avenue,Marshfield,WI,55141,44.678832,-90.165165,55141010200,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
231581,16571,BMO Harris Bank National Association,106 West Division Street,Neillsville,WI,55019,44.55282,-90.596384,55019950700,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
227907,16571,BMO Harris Bank National Association,220 South 18th Ave,Wausau,WI,55073,44.961373,-89.655755,55073000500,12,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
208937,16571,BMO Harris Bank National Association,2608 Center Avenue,Janesville,WI,55105,42.643184,-89.031082,55105001400,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
8503,16571,BMO Harris Bank National Association,1015 North Main Street,Edgerton,WI,55105,42.8431,-89.061612,55105003001,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
7967,16571,BMO Harris Bank National Association,388 West Main Street,Ellsworth,WI,55093,44.732163,-92.484133,55093960700,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
8098,16571,BMO Harris Bank National Association,1467 Highway 14 East,Richland Center,WI,55103,43.319602,-90.368896,55103970400,23,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
233161,16571,BMO Harris Bank National Association,108 East Court Street,Richland Center,WI,55103,43.33567,-90.385155,55103970400,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
8394,16571,BMO Harris Bank National Association,3500 State Road 16,La Crosse,WI,55063,43.866854,-91.202142,55063010500,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
430557,16571,BMO Harris Bank National Association,214 W Fifth Street,Shawano,WI,55115,44.783103,-88.610609,55115100400,23,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
430790,16571,BMO Harris Bank National Association,2753 W Lawrence Street,Appleton,WI,55087,44.260233,-88.44864,55087011001,23,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
6889,18569,Peoples State Bank,1255 Lincoln Street,Rhinelander,WI,55085,45.633036,-89.394181,55085971400,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
246819,18922,Tri City National Bank,12735 West Capitol Drive,Brookfield,WI,55133,43.08902,-88.070481,55133200700,12,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
248977,19608,The Park Bank,2910 Crossroads Drive,Madison,WI,55025,43.135777,-89.290152,55025011405,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
361452,26218,Park Bank,4535 N 92nd St,Milwaukee,WI,55079,43.102192,-88.030194,55079090100,11,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
610432,28400,Westbury Bank,810 Cardinal Lane Suite 210,Hartland,WI,55133,43.093805,-88.361452,55133203601,29,0,2019,2019,single_vintage,0.0,True,ok,False,,,,,,,,,,
