cert,institution_name,lei,match_quality,is_subject_bank
10004,Ergo Bank,,no_lei_for_rssd,False
10007,Partnership Bank,,no_lei_for_rssd,False
10011,Woodford State Bank,254900B5PW4JPZAQI721,exact_rssd,False
10012,The Portage County Bank,,no_lei_for_rssd,False
10015,Security Bank,549300IPFYHYZ3L7UL18,exact_rssd,False
10044,National Exchange Bank and Trust,5493006P0JVBBAHVXV08,exact_rssd,False
10075,Peoples State Bank of Colfax,,no_lei_for_rssd,False
10077,Farmers State Bank of Emden,,no_lei_for_rssd,False
10080,Reynolds State Bank,,no_lei_for_rssd,False
10159,First State Bank and Trust,549300AO417FCNJGKM49,exact_rssd,False
1022,"Clare Bank, National Association",,no_lei_for_rssd,False
10374,Banner Banks,,no_lei_for_rssd,False
10375,Advantage Community Bank,,no_lei_for_rssd,False
10378,The Bank of New Glarus,549300HZMPZC336WP721,exact_rssd,False
10380,Oostburg State Bank,254900UDJNXYZSDOKI36,exact_rssd,False
10382,Farmers & Merchants Bank & Trust,,no_lei_for_rssd,False
10383,State Bank Financial,549300H8LM6VPYEHWU46,exact_rssd,False
10384,Waumandee State Bank,,no_lei_for_rssd,False
1039,The Bank of Edwardsville,,no_lei_for_rssd,False
1040,Midland States Bank,549300U6DW7DX671T306,exact_rssd,False
10434,State Bank of Graymont,,no_lei_for_rssd,False
10437,First State Bank of Olmsted,,no_lei_for_rssd,False
10438,Raritan State Bank,,no_lei_for_rssd,False
10439,The Village Bank,,no_lei_for_rssd,False
10446,"Frederick Community Bank, The",,no_lei_for_rssd,False
10458,Farmers State Bank & Trust Co.,,no_lei_for_rssd,False
10460,Town & Country Bank Midwest,,no_lei_for_rssd,False
10463,Middletown State Bank,,no_lei_for_rssd,False
10464,Federated Bank,,no_lei_for_rssd,False
10467,The Gifford State Bank,549300W424PDJPNFLY60,exact_rssd,False
10469,Farmers & Merchants Bank of Hutsonville,,no_lei_for_rssd,False
1047,Bank & Trust Company,549300TFL8UPEHU61608,exact_rssd,False
10471,Camp Grove State Bank,,no_lei_for_rssd,False
10473,Ipava State Bank,5493005QZNPGRQNTRB15,exact_rssd,False
10474,Citizens State Bank,,no_lei_for_rssd,False
1049,First National Bank of Steeleville,,no_lei_for_rssd,False
1073,Lindell Bank & Trust Company,254900BX43CTU32Z6G15,exact_rssd,False
10734,Pioneer Bank,,no_lei_for_rssd,False
10741,Independence State Bank,,no_lei_for_rssd,False
10788,Illini State Bank,,no_lei_for_rssd,False
10791,Community Bank,,no_lei_for_rssd,False
10799,First State Bank of Campbell Hill,,no_lei_for_rssd,False
10802,Farmers State Bank of Danforth,,no_lei_for_rssd,False
10803,Dewey Bank,,no_lei_for_rssd,False
10804,Du Quoin State Bank,,no_lei_for_rssd,False
10809,First State Bank of Van Orin,,no_lei_for_rssd,False
10816,Grand Rivers Community Bank,,no_lei_for_rssd,False
10820,State Bank of Industry,,no_lei_for_rssd,False
10821,Clay County State Bank,,no_lei_for_rssd,False
10828,The Bank of Carbondale,,no_lei_for_rssd,False
10829,"Petefish, Skiles & Co.",549300032FNX4IOT2T93,exact_rssd,False
10831,"The First Trust and Savings Bank of Watseka, Illinois",,no_lei_for_rssd,False
10840,Campus State Bank,,no_lei_for_rssd,False
10843,Citizens Bank of Chatsworth,,no_lei_for_rssd,False
10844,Buena Vista National Bank,549300CSKW4TNZHEOO36,exact_rssd,False
10845,The Clay City Banking Co.,,no_lei_for_rssd,False
10849,Tompkins State Bank,,no_lei_for_rssd,False
10853,West Central Bank,25490076YOMAEM6W0N66,exact_rssd,False
10855,State Bank of Bement,549300XPRIVI6I4YR959,exact_rssd,False
10858,Anderson State Bank,,no_lei_for_rssd,False
10860,Murphy-Wall State Bank and Trust Company,,no_lei_for_rssd,False
10871,First State Bank of Beecher City,,no_lei_for_rssd,False
10872,Chesterfield State Bank,,no_lei_for_rssd,False
10878,Waterman Bank,,no_lei_for_rssd,False
10879,First Farmers State Bank,,no_lei_for_rssd,False
10883,Eagle Valley Bank,,no_lei_for_rssd,False
10885,Bank of Chestnut,,no_lei_for_rssd,False
10886,Legence Bank,549300OVUSU8E87XZV67,exact_rssd,False
1100,Peoples State Bank of Plainview,2549009PBYH62M6NZK12,exact_rssd,False
11063,First-Citizens Bank & Trust Company,L9VVX1KT5TFTKS0MLF66,exact_rssd,False
11225,First Community Bank,549300BZ038VQFB4UY84,exact_rssd,False
11228,First Citizens State Bank,,no_lei_for_rssd,False
11232,Bank of Milton,254900FYMABY3EPG2K50,exact_rssd,False
11235,Bonduel State Bank,,no_lei_for_rssd,False
11236,Horicon Bank,549300GIXEN5875K5W17,exact_rssd,False
11299,"Farmers State Bank of Alto Pass, Ill.",549300XOWUPV4E45EE89,exact_rssd,False
11300,Oakdale State Bank,,no_lei_for_rssd,False
11302,First State Bank of St. Peter,,no_lei_for_rssd,False
11306,FNBC Bank & Trust,549300FQ2SN6TRRGB032,exact_rssd,False
11307,Farmers State Bank,254900SRBPINTG8V7N66,exact_rssd,False
11310,The Bank of Herrin,549300XYHH9IPC6FQW89,exact_rssd,False
11311,State Bank of Cerro Gordo,,no_lei_for_rssd,False
11317,The Iuka State Bank,,no_lei_for_rssd,False
11319,Longview Community Bank,,no_lei_for_rssd,False
11324,Farmers and Merchants State Bank of Bushnell,,no_lei_for_rssd,False
11329,Farmers-Merchants Bank of Illinois,,no_lei_for_rssd,False
11595,Community First Bank,,no_lei_for_rssd,False
11601,Laona State Bank,549300ICVSTMS2XFXX81,exact_rssd,False
11608,BLC Community Bank,549300WVVCPSUJMG9419,exact_rssd,False
11623,The Greenwood's State Bank,2549006HGDHH72X1BE36,exact_rssd,False
11667,Vermilion Valley Bank,549300U8Y61UKDC5ZF50,exact_rssd,False
11669,First State Bank of Forrest,549300DNRGCN05KNA737,exact_rssd,False
11670,Central Bank Illinois,549300ZM3TKJVUYB3676,exact_rssd,False
11671,State Bank of Herscher,,no_lei_for_rssd,False
11674,Warren-Boynton State Bank,54930035X20L4YB6HD91,exact_rssd,False
11680,Farmers State Bank of Western Illinois,,no_lei_for_rssd,False
11681,Anchor State Bank,,no_lei_for_rssd,False
11682,Anna State Bank,,no_lei_for_rssd,False
11686,State Bank of Cherry,,no_lei_for_rssd,False
11699,Goodfield State Bank,2549002W5VVAQ5IH5726,exact_rssd,False
11702,Shelby County State Bank,,no_lei_for_rssd,False
11706,1st Community Bank,,no_lei_for_rssd,False
11708,Teutopolis State Bank,,no_lei_for_rssd,False
11711,Bank of Rantoul,,no_lei_for_rssd,False
11715,Bank of Yates City,,no_lei_for_rssd,False
11716,Hartsburg State Bank,,no_lei_for_rssd,False
11719,Liberty Bank,,no_lei_for_rssd,False
11722,"The Peoples State Bank of Newton, Illinois",,no_lei_for_rssd,False
