uninumbr,cert,year,deposits
6394,10004,2019,46823000
6890,10004,2019,30431000
6397,10007,2019,120302000
221684,10007,2019,0
559920,10007,2019,28609000
7833,10007,2019,48529000
572190,10007,2019,72141000
6400,10011,2019,137254000
221691,10011,2019,19980000
362475,10011,2019,17982000
7441,10011,2019,13070000
6401,10012,2019,49412000
221692,10012,2019,11725000
469744,10012,2019,16164000
7850,10012,2019,14124000
226864,10012,2019,11781000
356716,10012,2019,9268000
365860,10012,2019,26389000
6404,10015,2019,57504000
221699,10015,2019,7789000
461649,10015,2019,19462000
7856,10015,2019,5483000
614811,10015,2019,1298000
6419,10044,2019,451221000
7968,10044,2019,40385000
221732,10044,2019,51404000
221733,10044,2019,11014000
221734,10044,2019,28812000
270766,10044,2019,79946000
8109,10044,2019,33870000
227891,10044,2019,37517000
227892,10044,2019,0
233497,10044,2019,1045000
233498,10044,2019,19849000
9543,10044,2019,46427000
233334,10044,2019,12042000
7861,10044,2019,37541000
437182,10044,2019,17856000
220326,10044,2019,16449000
207566,10044,2019,25738000
9405,10044,2019,10629000
475452,10044,2019,6140000
13631,10044,2019,111117000
7421,10044,2019,58239000
249661,10044,2019,15413000
270768,10044,2019,14662000
270767,10044,2019,13174000
57106,10044,2019,145414000
262167,10044,2019,41882000
262169,10044,2019,20853000
8450,10044,2019,17150000
7412,10044,2019,12074000
6127,10044,2019,14491000
220322,10044,2019,17745000
221685,10044,2019,12066000
530768,10159,2019,5806000
580089,10159,2019,0
678,1022,2019,80105000
187693,1022,2019,11009000
8949,1022,2019,15535000
15621,1022,2019,19524000
7969,1022,2019,20455000
5543,1022,2019,36474000
285301,1022,2019,22012000
285302,1022,2019,23645000
6646,10374,2019,35700000
222348,10374,2019,22100000
222349,10374,2019,10962000
439655,10374,2019,17225000
6647,10375,2019,29055000
418872,10375,2019,40763000
442579,10375,2019,15181000
451606,10375,2019,37907000
6649,10378,2019,37677000
222352,10378,2019,48998000
222353,10378,2019,26871000
357769,10378,2019,47388000
9581,10378,2019,29562000
506567,10378,2019,45403000
6651,10380,2019,154896000
510993,10380,2019,33186000
614812,10380,2019,0
6653,10382,2019,92888000
16567,10382,2019,13426000
441090,10382,2019,14273000
6654,10383,2019,147830000
446065,10383,2019,13978000
466122,10383,2019,48675000
225231,10383,2019,24600000
225233,10383,2019,50623000
6655,10384,2019,33953000
231835,10384,2019,19472000
5780,10384,2019,28529000
42140,10384,2019,33732000
274345,10384,2019,15419000
42156,10384,2019,14008000
285101,10384,2019,20712000
6885,10734,2019,44978000
528465,10734,2019,6608000
222956,10734,2019,11636000
222957,10734,2019,49193000
222959,10734,2019,12003000
222960,10734,2019,8116000
493875,10734,2019,5572000
6892,10741,2019,39695000
222964,10741,2019,9395000
457010,10741,2019,6266000
775,1100,2019,27663000
187940,1100,2019,23205000
480916,11063,2019,10164000
278138,11063,2019,43740000
278139,11063,2019,52470000
278140,11063,2019,53228000
278141,11063,2019,34718000
278143,11063,2019,75535000
278144,11063,2019,26694000
432059,11063,2019,23143000
440840,11063,2019,24139000
541328,11063,2019,69719000
7963,11063,2019,6875000
227290,11063,2019,34148000
455259,11063,2019,62407000
473978,11063,2019,12809000
7161,11225,2019,87299000
7164,11228,2019,150730000
270094,11228,2019,5910000
334445,11228,2019,0
334446,11228,2019,0
359371,11228,2019,50542000
9490,11228,2019,28611000
7166,11232,2019,89059000
224163,11232,2019,25466000
7168,11235,2019,47042000
7169,11236,2019,141598000
7425,11236,2019,21686000
445684,11236,2019,5848000
424623,11236,2019,9015000
267210,11236,2019,7357000
540087,11236,2019,38155000
9518,11236,2019,51064000
473977,11236,2019,23595000
225247,11236,2019,22048000
224164,11236,2019,124857000
233310,11236,2019,21532000
233311,11236,2019,64608000
224165,11236,2019,68445000
428769,11236,2019,5182000
444378,11236,2019,57716000
7409,11595,2019,76427000
511679,11595,2019,16709000
606457,11595,2019,1823000
225224,11595,2019,28022000
225227,11595,2019,56013000
360629,11595,2019,46249000
365679,11595,2019,22977000
4169,11595,2019,103265000
7414,11601,2019,69716000
225234,11601,2019,0
270078,11601,2019,32594000
225236,11601,2019,7924000
225237,11601,2019,0
233313,11601,2019,41400000
456661,11601,2019,17883000
7419,11608,2019,208534000
7431,11623,2019,57699000
612399,11623,2019,1482000
364388,11623,2019,83364000
580282,11623,2019,5268000
7420,11623,2019,56888000
362381,11623,2019,0
279464,11623,2019,19744000
279463,11623,2019,27232000
43021,11729,2019,78065000
603498,11729,2019,39282000
7835,12322,2019,44569000
226839,12322,2019,7817000
531343,12322,2019,24032000
533978,12322,2019,30752000
551811,12322,2019,13560000
225261,12322,2019,16626000
225262,12322,2019,7272000
579102,12322,2019,11847000
226840,12322,2019,95026000
226841,12322,2019,24694000
226842,12322,2019,5289000
423082,12322,2019,6792000
431392,12322,2019,36639000
269212,12322,2019,13429000
269213,12322,2019,14817000
506557,12322,2019,3764000
7837,12325,2019,79040000
7839,12327,2019,173047000
226846,12327,2019,15032000
226848,12327,2019,2383000
226849,12327,2019,23141000
359518,12327,2019,17115000
443997,12327,2019,17425000
