county_fips,cagr_pct_total,cagr_pct_retail,cagr_shift_pp,excluded_branches,excluded_deposit_share,retail_basis_status
17001,4.4506,4.4506,0.0,0.0,0.0,measured
17003,4.2923,4.2923,0.0,0.0,0.0,measured
17005,6.1364,6.1364,0.0,0.0,0.0,measured
17007,4.9757,4.9757,0.0,0.0,0.0,measured
17009,8.0714,8.0714,0.0,0.0,0.0,measured
17011,4.3655,4.3655,0.0,0.0,0.0,measured
17013,5.2205,5.2205,0.0,0.0,0.0,measured
17015,4.4455,4.4455,0.0,0.0,0.0,measured
17017,4.6349,4.6349,0.0,0.0,0.0,measured
17019,3.7252,3.7252,0.0,0.0,0.0,measured
17021,3.2265,3.2265,0.0,0.0,0.0,measured
17023,6.6041,6.6041,0.0,0.0,0.0,measured
17025,6.562,6.562,0.0,0.0,0.0,measured
17027,5.9208,5.9208,0.0,0.0,0.0,measured
17029,7.5039,7.5039,0.0,0.0,0.0,measured
17031,6.8101,3.2328,-3.5773,19.0,0.6129,measured
17033,4.6478,4.6478,0.0,0.0,0.0,measured
17035,5.6964,5.6964,0.0,0.0,0.0,measured
17037,2.6625,2.6625,0.0,0.0,0.0,measured
17039,5.2223,5.2223,0.0,0.0,0.0,measured
17041,4.6546,4.6546,0.0,0.0,0.0,measured
17043,4.0845,3.1305,-0.954,3.0,0.1579,measured
17045,4.3386,4.3386,0.0,0.0,0.0,measured
17047,3.7323,3.7323,0.0,0.0,0.0,measured
17049,7.033,7.033,0.0,0.0,0.0,measured
17051,6.6221,6.6221,0.0,0.0,0.0,measured
17053,4.0093,4.0093,0.0,0.0,0.0,measured
17055,5.0322,5.0322,0.0,0.0,0.0,measured
17057,4.7946,4.7946,0.0,0.0,0.0,measured
17059,4.0214,4.0214,0.0,0.0,0.0,measured
17061,6.2436,6.2436,0.0,0.0,0.0,measured
17063,6.2777,6.2777,0.0,0.0,0.0,measured
17065,7.9204,7.9204,0.0,0.0,0.0,measured
17067,5.5175,5.5175,0.0,0.0,0.0,measured
17069,4.9026,4.9026,0.0,0.0,0.0,measured
17071,3.3959,3.3959,0.0,0.0,0.0,measured
17073,4.7782,4.7782,0.0,0.0,0.0,measured
17075,3.4532,3.4532,0.0,0.0,0.0,measured
17077,4.1455,4.1455,0.0,0.0,0.0,measured
17079,7.3321,7.3321,0.0,0.0,0.0,measured
17081,6.4807,6.4807,0.0,0.0,0.0,measured
17083,7.1322,7.1322,0.0,0.0,0.0,measured
17085,5.2484,5.2484,0.0,0.0,0.0,measured
17087,5.4043,5.4043,0.0,0.0,0.0,measured
17089,5.1009,5.1009,0.0,0.0,0.0,measured
17091,5.833,5.833,0.0,0.0,0.0,measured
17093,10.2039,10.2039,0.0,0.0,0.0,measured
17095,12.4984,12.4984,0.0,0.0,0.0,measured
17097,6.0673,2.5853,-3.482,3.0,0.2863,measured
17099,6.8088,6.8088,0.0,0.0,0.0,measured
17101,2.5334,2.5334,0.0,0.0,0.0,measured
17103,2.1626,2.1626,0.0,0.0,0.0,measured
17105,4.182,4.182,0.0,0.0,0.0,measured
17107,1.3756,1.3756,0.0,0.0,0.0,measured
17109,1.2965,1.2965,0.0,0.0,0.0,measured
17111,4.2542,4.2542,0.0,0.0,0.0,measured
17113,-16.8719,6.7994,23.6713,1.0,0.7776,measured
17115,3.4378,3.4378,0.0,0.0,0.0,measured
17117,6.611,6.611,0.0,0.0,0.0,measured
17119,3.7353,3.7353,0.0,0.0,0.0,measured
17121,7.574,7.574,0.0,0.0,0.0,measured
17123,5.2522,5.2522,0.0,0.0,0.0,measured
17125,2.6808,2.6808,0.0,0.0,0.0,measured
17127,3.43,3.43,0.0,0.0,0.0,measured
17129,6.3092,6.3092,0.0,0.0,0.0,measured
17131,4.5682,4.5682,0.0,0.0,0.0,measured
17133,4.7216,4.7216,0.0,0.0,0.0,measured
17135,6.0221,6.0221,0.0,0.0,0.0,measured
17137,3.5706,3.5706,0.0,0.0,0.0,measured
17139,5.7418,5.7418,0.0,0.0,0.0,measured
17141,3.9165,3.9165,0.0,0.0,0.0,measured
17143,4.7125,4.7125,0.0,0.0,0.0,measured
17145,7.9894,7.9894,0.0,0.0,0.0,measured
17147,5.9974,5.9974,0.0,0.0,0.0,measured
17149,3.0979,3.0979,0.0,0.0,0.0,measured
17151,3.8113,3.8113,0.0,0.0,0.0,measured
17153,2.5953,2.5953,0.0,0.0,0.0,measured
17155,4.7422,4.7422,0.0,0.0,0.0,measured
17157,5.5567,5.5567,0.0,0.0,0.0,measured
17159,6.6377,6.6377,0.0,0.0,0.0,measured
17161,5.2205,5.2205,0.0,0.0,0.0,measured
17163,6.4517,6.4517,0.0,0.0,0.0,measured
17165,5.4212,5.4212,0.0,0.0,0.0,measured
17167,7.206,7.206,0.0,0.0,0.0,measured
17169,4.786,4.786,0.0,0.0,0.0,measured
17171,11.9255,11.9255,0.0,0.0,0.0,measured
17173,5.5685,5.5685,0.0,0.0,0.0,measured
17175,5.8673,5.8673,0.0,0.0,0.0,measured
17177,3.2563,3.2563,0.0,0.0,0.0,measured
17179,4.8839,4.8839,0.0,0.0,0.0,measured
