tract_geoid,component,z_score,default_weight
17093890402,household_growth,1.39,0.2
17093890105,household_growth,0.3115,0.2
17093890404,household_growth,1.39,0.2
17163503404,household_growth,2.6915,0.2
17089850707,household_growth,1.967,0.2
55109120401,household_growth,1.313,0.2
17093890702,household_growth,-0.9255,0.2
17093890602,household_growth,-0.2385,0.2
17093890401,household_growth,1.39,0.2
17093890107,household_growth,0.1015,0.2
55025013202,household_growth,1.399,0.2
17093890703,household_growth,-0.9255,0.2
55109120502,household_growth,1.029,0.2
55087013300,household_growth,2.4885,0.2
55063010202,household_growth,2.33,0.2
17197880317,household_growth,1.331,0.2
17197883510,household_growth,3.3355,0.2
17063000103,household_growth,1.77,0.2
17197880322,household_growth,2.102,0.2
55109120906,household_growth,0.558,0.2
55025010702,household_growth,3.085,0.2
55109121000,household_growth,0.1615,0.2
17143003900,household_growth,1.618,0.2
55133200300,household_growth,2.311,0.2
17197880318,household_growth,1.331,0.2
17197880314,household_growth,-0.373,0.2
55109120402,household_growth,1.313,0.2
17093890403,household_growth,1.39,0.2
17089850711,household_growth,1.967,0.2
17093890501,household_growth,0.4055,0.2
17113005401,household_growth,0.5895,0.2
17093890108,household_growth,0.1015,0.2
55015020308,household_growth,2.2055,0.2
55109120904,household_growth,0.935,0.2
17089851907,household_growth,1.6335,0.2
17093890104,household_growth,0.3115,0.2
17089850710,household_growth,1.967,0.2
55015020306,household_growth,0.993,0.2
55133203406,household_growth,-0.295,0.2
55133204301,household_growth,1.279,0.2
55109120501,household_growth,0.8475,0.2
17093890106,household_growth,0.1015,0.2
55055101600,household_growth,3.4045,0.2
17089850709,household_growth,1.967,0.2
55109120602,household_growth,-0.136,0.2
17031833100,household_growth,2.8495,0.2
17089850706,household_growth,0.3155,0.2
17031081800,household_growth,2.276,0.2
17197880323,household_growth,2.102,0.2
17093890301,household_growth,0.76,0.2
17095001300,household_growth,1.5315,0.2
55073001203,household_growth,0.7765,0.2
55093960500,household_growth,1.073,0.2
17113005102,household_growth,0.4665,0.2
17111871502,household_growth,0.3255,0.2
55109120901,household_growth,1.597,0.2
17111870809,household_growth,1.0525,0.2
55017010700,household_growth,0.955,0.2
55025010907,household_growth,1.987,0.2
55017010900,household_growth,1.759,0.2
55025012003,household_growth,2.333,0.2
55047100400,household_growth,0.348,0.2
17089851801,household_growth,2.1895,0.2
55021970900,household_growth,-0.0995,0.2
17031838300,household_growth,7.5945,0.2
17097860906,household_growth,1.1325,0.2
17197881009,household_growth,1.186,0.2
55055101702,household_growth,1.6075,0.2
17197880320,household_growth,0.26,0.2
55133201900,household_growth,0.9615,0.2
55017010400,household_growth,0.35,0.2
55047100200,household_growth,0.319,0.2
55025013700,household_growth,2.9565,0.2
55109120601,household_growth,-0.136,0.2
17197880424,household_growth,0.589,0.2
55031030200,household_growth,-0.596,0.2
17197881113,household_growth,1.9235,0.2
55047100600,household_growth,0.216,0.2
17167003100,household_growth,0.613,0.2
55055100500,household_growth,0.5015,0.2
55063010101,household_growth,-0.7305,0.2
17089852101,household_growth,0.626,0.2
17089854509,household_growth,1.302,0.2
17093890103,household_growth,0.3115,0.2
17197880309,household_growth,1.44,0.2
55039042002,household_growth,0.8165,0.2
17197880316,household_growth,1.823,0.2
17197880421,household_growth,0.68,0.2
17089850708,household_growth,1.967,0.2
17031291600,household_growth,6.8395,0.2
17119403533,household_growth,0.3875,0.2
55045960100,household_growth,0.1315,0.2
55073001204,household_growth,0.7765,0.2
55025010600,household_growth,0.6085,0.2
17095000300,household_growth,0.643,0.2
17167003901,household_growth,0.113,0.2
17091010201,household_growth,1.881,0.2
55073001900,household_growth,0.4285,0.2
55045960200,household_growth,0.0685,0.2
55031030301,household_growth,-0.1735,0.2
55105003002,household_growth,0.034,0.2
55131460101,household_growth,-0.906,0.2
55139002300,household_growth,1.168,0.2
55047100300,household_growth,0.245,0.2
55025010905,household_growth,2.4165,0.2
55047100100,household_growth,-0.454,0.2
55073001600,household_growth,-0.563,0.2
17197883505,household_growth,0.6665,0.2
55009020504,household_growth,1.38,0.2
55025011301,household_growth,1.16,0.2
17089854505,household_growth,0.7135,0.2
55063010403,household_growth,1.353,0.2
17201003801,household_growth,0.3235,0.2
55029100800,household_growth,1.2455,0.2
55031020500,household_growth,1.527,0.2
55017010300,household_growth,0.8955,0.2
55073001300,household_growth,0.969,0.2
17167003802,household_growth,0.664,0.2
17089852806,household_growth,0.507,0.2
17031081900,household_growth,3.9765,0.2
55073001800,household_growth,-0.0975,0.2
55109120700,household_growth,0.283,0.2
17097864402,household_growth,0.6985,0.2
17095000200,household_growth,-0.5725,0.2
17095001500,household_growth,0.253,0.2
55109120201,household_growth,0.772,0.2
55017011002,household_growth,-0.0625,0.2
17093890302,household_growth,-1.1535,0.2
55021971000,household_growth,0.3465,0.2
55073001106,household_growth,0.574,0.2
55017010200,household_growth,0.8185,0.2
17093890502,household_growth,0.4055,0.2
55025010503,household_growth,0.6785,0.2
55089660201,household_growth,2.2845,0.2
55059002606,household_growth,1.7615,0.2
55109120202,household_growth,0.0755,0.2
17031833000,household_growth,2.699,0.2
55105001201,household_growth,1.671,0.2
55063010204,household_growth,1.3165,0.2
17089854507,household_growth,0.7135,0.2
17113001402,household_growth,0.3195,0.2
