tract_geoid,tier,radius_miles,competitor_branches,subject_branches,catchment_households,competitor_per_10k_catchment_hh
17001000100,micro,13.14,29,0,25370.0,11.4308
17001000201,micro,13.14,29,0,24223.0,11.9721
17001000202,micro,13.14,29,0,24223.0,11.9721
17001000400,micro,13.14,29,0,24223.0,11.9721
17001000500,micro,13.14,29,0,24223.0,11.9721
17001000600,micro,13.14,29,0,24223.0,11.9721
17001000700,micro,13.14,29,0,22304.0,13.0022
17001000800,micro,13.14,28,0,22304.0,12.5538
17001000900,micro,13.14,28,0,22304.0,12.5538
17001001001,micro,13.14,29,0,22304.0,13.0022
17001001002,micro,13.14,28,0,23451.0,11.9398
17001001100,micro,13.14,30,0,23451.0,12.7926
17001010100,micro,13.14,23,0,14020.0,16.4051
17001010200,micro,13.14,7,0,1536.0,45.5729
17001010301,micro,13.14,7,0,2156.0,32.4675
17001010302,micro,13.14,22,0,13499.0,16.2975
17001010400,micro,13.14,33,0,25370.0,13.0075
17001010500,micro,13.14,28,0,24223.0,11.5593
17001010600,micro,13.14,30,0,24430.0,12.28
17003957600,metro,3.49,0,0,680.0,0.0
17003957700,metro,3.49,0,0,515.0,0.0
17003957800,metro,3.49,0,0,404.0,0.0
17003957900,metro,3.49,2,0,305.0,65.5738
17005951200,metro,3.49,0,0,1308.0,0.0
17005951300,metro,3.49,6,0,2140.0,28.0374
17005951400,metro,3.49,0,0,1047.0,0.0
17005951500,metro,3.49,0,0,1652.0,0.0
17007010101,metro,3.49,9,0,10136.0,8.8792
17007010102,metro,3.49,8,0,9962.0,8.0305
17007010200,metro,3.49,8,0,12547.0,6.376
17007010300,metro,3.49,8,0,10607.0,7.5422
17007010400,metro,3.49,3,0,7319.0,4.0989
17007010501,metro,3.49,3,0,5706.0,5.2576
17007010502,metro,3.49,6,0,5863.0,10.2337
17007010601,metro,3.49,0,0,1259.0,0.0
17007010603,metro,3.49,2,0,3888.0,5.144
17007010604,metro,3.49,3,0,3888.0,7.716
17009970400,rural,20.81,26,0,12784.0,20.3379
17009970500,rural,20.81,26,0,12784.0,20.3379
17011964700,micro,13.14,19,0,11428.0,16.6258
17011964800,micro,13.14,7,0,4519.0,15.4902
17011964900,micro,13.14,14,0,9654.0,14.5018
17011965000,micro,13.14,32,0,20796.0,15.3876
17011965100,micro,13.14,35,0,19542.0,17.9101
17011965200,micro,13.14,30,0,19979.0,15.0158
17011965300,micro,13.14,13,0,8320.0,15.625
17011965400,micro,13.14,9,0,8644.0,10.4118
17011965500,micro,13.14,9,0,8200.0,10.9756
17011965600,micro,13.14,12,0,9784.0,12.2649
17013951200,metro,3.49,0,0,536.0,0.0
17013951300,metro,3.49,0,0,703.0,0.0
17015960100,rural,20.81,38,0,30638.0,12.4029
17015960200,rural,20.81,22,0,14325.0,15.3578
17015960300,rural,20.81,20,0,10933.0,18.2932
17015960400,rural,20.81,27,0,20140.0,13.4062
17015960500,rural,20.81,63,0,45399.0,13.877
17015960600,rural,20.81,28,0,24692.0,11.3397
