tract_geoid,household_growth_z,median_income_z,deposit_growth_z,competitor_saturation_z,unmet_demand_z,opportunity_score,county_name,centroid_lat,centroid_lon,lmi_flag,growth_is_estimated
17093890402,1.39,1.530667,3.3328,0.364,6.4315,2.6999,Kendall County,41.67718824707693,-88.41966695961905,False,True
17093890105,0.3115,1.114667,3.3328,0.4885,6.025,2.3654,Kendall County,41.671917798885886,-88.28373281666133,False,True
17093890404,1.39,0.494,3.3328,1.1475,3.6055,2.136,Kendall County,41.71425875843192,-88.41796566854745,False,True
17163503404,2.6915,2.025333,1.2988,-0.1835,4.825,2.095,St. Clair County,38.62820555578092,-89.95628445038915,False,False
17089850707,1.967,1.329333,0.5664,0.2375,6.2575,2.0334,Kane County,42.112359066169134,-88.39733594249992,False,True
55109120401,1.313,0.818667,2.776,0.9845,3.6055,1.9974,St. Croix County,45.14306864642464,-92.6987776055506,False,True
17093890702,-0.9255,1.454667,3.3328,1.787,3.5665,1.9371,Kendall County,41.59347189081008,-88.31419741909619,False,True
17093890602,-0.2385,1.068,3.3328,1.787,2.715,1.8462,Kendall County,41.58741149246686,-88.48578814759472,False,True
17093890401,1.39,0.572,3.3328,0.521,2.6765,1.8366,Kendall County,41.68221615767213,-88.46692287172236,False,True
17093890107,0.1015,1.498667,3.3328,-0.115,3.857,1.8267,Kendall County,41.67594941919591,-88.32309872867653,False,True
55025013202,1.399,0.79,-0.7572,0.8765,7.0895,1.8022,Dane County,43.237423942437765,-89.29781808693622,False,True
17093890703,-0.9255,0.910667,3.3328,1.787,3.2185,1.7858,Kendall County,41.50312066336995,-88.42537768145675,False,True
55109120502,1.029,0.425333,2.776,0.8975,3.0635,1.7558,St. Croix County,45.12309449363978,-92.50639271682432,False,False
55087013300,2.4885,0.564,-0.3744,0.718,5.522,1.7367,Outagamie County,44.31673722389506,-88.24275941886657,False,False
55063010202,2.33,0.288,2.3608,-0.4015,3.586,1.7363,La Crosse County,43.95506757438999,-91.31474819954828,False,True
17197880317,1.331,2.506667,0.3032,0.703,4.3795,1.7346,Will County,41.65543434883029,-88.1674965792368,False,True
17197883510,3.3355,1.789333,0.3032,-0.0475,3.586,1.7191,Will County,41.44741312479986,-87.96077323503832,False,False
17063000103,1.77,0.634,1.2044,1.3595,3.47,1.7161,Grundy County,41.39829624138041,-88.33057607291398,False,False
17197880322,2.102,4.062,0.3032,0.4595,2.5215,1.7016,Will County,41.69131737116417,-88.21985696671871,False,True
55109120906,0.558,2.727333,2.776,1.787,0.6245,1.697,St. Croix County,44.89919168961694,-92.71381625776203,False,True
55025010702,3.085,0.657333,-0.7572,0.9845,4.8445,1.692,Dane County,42.9769660553961,-89.45898622834048,False,False
55109121000,0.1615,0.68,2.776,0.9985,3.315,1.6909,St. Croix County,44.99252923214438,-92.4967163466035,False,False
17143003900,1.618,2.058,0.356,1.787,2.9475,1.6682,Peoria County,40.83978122826313,-89.8115220062923,False,True
55133200300,2.311,0.588,0.7444,0.096,4.554,1.6665,Waukesha County,43.14713673056812,-88.1609187545475,False,False
17197880318,1.331,3.126,0.3032,-0.185,4.3795,1.65,Will County,41.66747447360304,-88.18930557862053,False,True
17197880314,-0.373,2.376667,0.3032,0.774,5.541,1.6208,Will County,41.66589407724328,-88.24541119549313,False,False
55109120402,1.313,0.754,2.776,1.787,0.9535,1.6178,St. Croix County,45.05216159422487,-92.70285847163107,False,True
17093890403,1.39,1.149333,3.3328,1.1435,0.5085,1.614,Kendall County,41.70169252338862,-88.38803174743666,False,True
17089850711,1.967,1.906,0.5664,1.201,2.657,1.5925,Kane County,42.04380454401714,-88.4170733418265,False,True
17093890501,0.4055,0.048667,3.3328,0.5575,2.7535,1.5839,Kendall County,41.670379473161645,-88.52763801262672,False,True
