state,county_fips,year,institutions,market_branches,subject_branches,hq_branches,market_deposits,subject_deposits,deposit_share_pct,branch_share_pct,share_gap_pp
IL,17001,2019,11,36,0,5,1674736000.0,0.0,0.0,0.0,0.0
IL,17001,2020,12,36,0,5,1880170000.0,0.0,0.0,0.0,0.0
IL,17001,2021,12,35,0,5,2152093000.0,0.0,0.0,0.0,0.0
IL,17001,2022,12,34,0,5,2264537000.0,0.0,0.0,0.0,0.0
IL,17001,2023,12,33,0,5,2122460000.0,0.0,0.0,0.0,0.0
IL,17001,2024,12,33,0,5,2125580000.0,0.0,0.0,0.0,0.0
IL,17001,2025,12,33,0,5,2174760000.0,0.0,0.0,0.0,0.0
IL,17003,2019,1,3,0,0,69844000.0,0.0,0.0,0.0,0.0
IL,17003,2020,1,3,0,0,78426000.0,0.0,0.0,0.0,0.0
IL,17003,2021,1,3,0,0,87880000.0,0.0,0.0,0.0,0.0
IL,17003,2022,1,2,0,0,94202000.0,0.0,0.0,0.0,0.0
IL,17003,2023,1,2,0,0,93109000.0,0.0,0.0,0.0,0.0
IL,17003,2024,1,2,0,0,92864000.0,0.0,0.0,0.0,0.0
IL,17003,2025,1,2,0,0,89876000.0,0.0,0.0,0.0,0.0
IL,17005,2019,5,8,0,1,310770000.0,0.0,0.0,0.0,0.0
IL,17005,2020,5,8,0,1,365943000.0,0.0,0.0,0.0,0.0
IL,17005,2021,5,8,0,1,395374000.0,0.0,0.0,0.0,0.0
IL,17005,2022,5,7,0,1,428301000.0,0.0,0.0,0.0,0.0
IL,17005,2023,5,7,0,1,430592000.0,0.0,0.0,0.0,0.0
IL,17005,2024,5,7,0,1,434415000.0,0.0,0.0,0.0,0.0
IL,17005,2025,5,7,0,1,444247000.0,0.0,0.0,0.0,0.0
IL,17007,2019,8,12,0,0,597865000.0,0.0,0.0,0.0,0.0
IL,17007,2020,8,12,0,0,704690000.0,0.0,0.0,0.0,0.0
IL,17007,2021,8,11,0,0,788754000.0,0.0,0.0,0.0,0.0
IL,17007,2022,8,11,0,0,784685000.0,0.0,0.0,0.0,0.0
IL,17007,2023,8,11,0,0,793011000.0,0.0,0.0,0.0,0.0
IL,17007,2024,8,11,0,0,778577000.0,0.0,0.0,0.0,0.0
