scenario,component,weight,inverted,normalization
primary,household_growth,0.2,False,z_score
primary,median_income,0.15,False,z_score
primary,deposit_market_growth,0.25,False,z_score
primary,competitor_saturation,0.2,True,z_score
primary,unmet_mortgage_demand,0.2,False,z_score
equal_weight,household_growth,0.2,False,z_score
equal_weight,median_income,0.2,False,z_score
equal_weight,deposit_market_growth,0.2,False,z_score
equal_weight,competitor_saturation,0.2,True,z_score
equal_weight,unmet_mortgage_demand,0.2,False,z_score
growth_led,household_growth,0.35,False,z_score
growth_led,median_income,0.1,False,z_score
growth_led,deposit_market_growth,0.35,False,z_score
growth_led,competitor_saturation,0.1,True,z_score
growth_led,unmet_mortgage_demand,0.1,False,z_score
underserved_led,household_growth,0.15,False,z_score
underserved_led,median_income,0.05,False,z_score
underserved_led,deposit_market_growth,0.2,False,z_score
underserved_led,competitor_saturation,0.2,True,z_score
underserved_led,unmet_mortgage_demand,0.4,False,z_score
