tract_geoid,county_name,tier,households,lmi_flag,lmi_basis,is_in_catchment,lenders_originating,all_applications,all_originations,all_origination_amt,subject_originations,subject_origination_amt,capture_rate_pct,competitor_originations,competitor_origination_amt
55025013202,Dane County,metro,3198,False,ffiec_ratio,False,62,589.0,453.0,163095000.0,7.0,935000.0,1.545,446.0,162160000.0
17093890402,Kendall County,metro,3738,False,ffiec_ratio,False,101,635.0,412.0,116210000.0,0.0,0.0,0.0,412.0,116210000.0
17089850707,Kane County,metro,3571,False,ffiec_ratio,True,88,607.0,403.0,117105000.0,0.0,0.0,0.0,403.0,117105000.0
17093890105,Kendall County,metro,2700,False,ffiec_ratio,False,101,622.0,392.0,132040000.0,1.0,195000.0,0.255,391.0,131845000.0
17197880314,Will County,metro,2075,False,ffiec_ratio,False,87,593.0,366.0,141670000.0,0.0,0.0,0.0,366.0,141670000.0
55087013300,Outagamie County,metro,3889,False,ffiec_ratio,True,75,497.0,381.0,139305000.0,16.0,3450000.0,4.199,365.0,135855000.0
17089850706,Kane County,metro,898,True,ffiec_ratio,False,56,491.0,350.0,107540000.0,0.0,0.0,0.0,350.0,107540000.0
17111871502,McHenry County,metro,2829,False,ffiec_ratio,False,90,538.0,351.0,101285000.0,1.0,105000.0,0.285,350.0,101180000.0
55133203406,Waukesha County,metro,2558,False,ffiec_ratio,True,92,487.0,362.0,134370000.0,13.0,4375000.0,3.591,349.0,129995000.0
55025010702,Dane County,metro,5169,False,ffiec_ratio,True,55,434.0,335.0,166525000.0,5.0,415000.0,1.493,330.0,166110000.0
17163503404,St. Clair County,metro,2855,False,ffiec_ratio,True,84,518.0,333.0,115275000.0,4.0,580000.0,1.201,329.0,114695000.0
17119403533,Madison County,metro,4518,False,ffiec_ratio,True,78,462.0,318.0,78820000.0,1.0,185000.0,0.314,317.0,78635000.0
55133200300,Waukesha County,metro,2442,False,ffiec_ratio,True,82,481.0,329.0,131055000.0,14.0,6730000.0,4.255,315.0,124325000.0
55025011301,Dane County,metro,2982,False,ffiec_ratio,True,59,415.0,314.0,93800000.0,2.0,940000.0,0.637,312.0,92860000.0
55025012501,Dane County,metro,3014,False,ffiec_ratio,False,52,410.0,312.0,80170000.0,3.0,495000.0,0.962,309.0,79675000.0
17197880317,Will County,metro,2146,False,ffiec_ratio,False,73,526.0,306.0,139800000.0,0.0,0.0,0.0,306.0,139800000.0
17197880318,Will County,metro,1212,False,ffiec_ratio,False,71,528.0,306.0,192180000.0,0.0,0.0,0.0,306.0,192180000.0
17031081800,Cook County,metro,8462,False,ffiec_ratio,True,101,498.0,300.0,127500000.0,0.0,0.0,0.0,300.0,127500000.0
17097860906,Lake County,metro,3864,False,ffiec_ratio,False,90,494.0,301.0,67595000.0,1.0,115000.0,0.332,300.0,67480000.0
17089851907,Kane County,metro,3191,False,ffiec_ratio,True,78,446.0,298.0,75750000.0,4.0,200000.0,1.342,294.0,75550000.0
55133204301,Waukesha County,metro,2911,False,ffiec_ratio,True,68,393.0,292.0,91500000.0,5.0,1325000.0,1.712,287.0,90175000.0
55025011900,Dane County,metro,2672,False,ffiec_ratio,False,55,393.0,282.0,64070000.0,1.0,285000.0,0.355,281.0,63785000.0
55009020504,Brown County,metro,2745,False,ffiec_ratio,True,68,388.0,292.0,81810000.0,12.0,2190000.0,4.11,280.0,79620000.0
17093890107,Kendall County,metro,1580,False,ffiec_ratio,False,81,443.0,281.0,134065000.0,2.0,140000.0,0.712,279.0,133925000.0
55025010600,Dane County,metro,2548,False,ffiec_ratio,False,63,367.0,275.0,87825000.0,7.0,905000.0,2.545,268.0,86920000.0
55105003002,Rock County,metro,2296,False,ffiec_ratio,False,71,362.0,272.0,57580000.0,5.0,615000.0,1.838,267.0,56965000.0
17089850705,Kane County,metro,3150,False,ffiec_ratio,False,91,404.0,271.0,66835000.0,4.0,720000.0,1.476,267.0,66115000.0
17093890404,Kendall County,metro,3220,False,ffiec_ratio,False,87,443.0,266.0,53850000.0,0.0,0.0,0.0,266.0,53850000.0
17111870809,McHenry County,metro,2843,False,ffiec_ratio,False,88,425.0,267.0,115915000.0,1.0,425000.0,0.375,266.0,115490000.0
55109120401,St. Croix County,metro,2918,False,ffiec_ratio,False,94,384.0,272.0,96810000.0,6.0,5030000.0,2.206,266.0,91780000.0
55063010202,La Crosse County,metro,3362,False,ffiec_ratio,True,59,348.0,279.0,78845000.0,14.0,2870000.0,5.018,265.0,75975000.0
55025012800,Dane County,metro,3107,False,ffiec_ratio,False,59,322.0,268.0,69950000.0,3.0,925000.0,1.119,265.0,69025000.0
17197883510,Will County,metro,2453,False,ffiec_ratio,False,94,416.0,266.0,76020000.0,1.0,25000.0,0.376,265.0,75995000.0
17197883505,Will County,metro,2820,False,ffiec_ratio,False,101,452.0,267.0,91165000.0,2.0,530000.0,0.749,265.0,90635000.0
17093890702,Kendall County,metro,1710,False,ffiec_ratio,False,88,416.0,264.0,130230000.0,0.0,0.0,0.0,264.0,130230000.0
17111870501,McHenry County,metro,1628,False,ffiec_ratio,False,74,401.0,265.0,69665000.0,1.0,385000.0,0.377,264.0,69280000.0
55025012502,Dane County,metro,2288,False,ffiec_ratio,False,48,343.0,269.0,82815000.0,5.0,585000.0,1.859,264.0,82230000.0
