tract_geoid,county_name,state,tier,households,median_family_income,lmi_flag,lmi_basis,all_applications,all_originations,subject_originations,unmet_originations,all_origination_amt,capture_rate_pct,outside_footprint,basis_absolute,basis_per_household,basis_per_application,basis_uncaptured_apps,opportunity_type,lmi_undetermined,tract_partly_unmeasured
55025013202,Dane County,WI,metro,3198,142273,False,ffiec_ratio,589.0,453.0,7.0,446.0,163095000.0,1.545,True,446.0,0.13946,0.75722,579.9,siting - outside the footprint,False,False
17093890402,Kendall County,IL,metro,3738,149013,False,ffiec_ratio,635.0,412.0,0.0,412.0,116210000.0,0.0,True,412.0,0.11022,0.64882,635.0,siting - outside the footprint,False,False
17089850707,Kane County,IL,metro,3571,136769,False,ffiec_ratio,607.0,403.0,0.0,403.0,117105000.0,0.0,False,403.0,0.11285,0.66392,607.0,"conversion - present, capturing none",False,False
17093890105,Kendall County,IL,metro,2700,133125,False,ffiec_ratio,622.0,392.0,1.0,391.0,132040000.0,0.255,True,391.0,0.14481,0.62862,620.41,siting - outside the footprint,False,False
17197880314,Will County,IL,metro,2075,180855,False,ffiec_ratio,593.0,366.0,0.0,366.0,141670000.0,0.0,True,366.0,0.17639,0.6172,593.0,siting - outside the footprint,False,False
55087013300,Outagamie County,WI,metro,3889,120795,False,ffiec_ratio,497.0,381.0,16.0,365.0,139305000.0,4.199,False,365.0,0.09385,0.73441,476.13,"conversion - present, under-capturing",False,False
17089850706,Kane County,IL,metro,898,132438,True,ffiec_ratio,491.0,350.0,0.0,350.0,107540000.0,0.0,True,350.0,0.38976,0.71283,491.0,siting - outside the footprint,False,False
17111871502,McHenry County,IL,metro,2829,137679,False,ffiec_ratio,538.0,351.0,1.0,350.0,101285000.0,0.285,True,350.0,0.12372,0.65056,536.47,siting - outside the footprint,False,False
55133203406,Waukesha County,WI,metro,2558,147932,False,ffiec_ratio,487.0,362.0,13.0,349.0,134370000.0,3.591,False,349.0,0.13643,0.71663,469.51,"conversion - present, under-capturing",False,False
55025010702,Dane County,WI,metro,5169,160787,False,ffiec_ratio,434.0,335.0,5.0,330.0,166525000.0,1.493,False,330.0,0.06384,0.76037,427.52,"conversion - present, under-capturing",False,False
17163503404,St. Clair County,IL,metro,2855,174113,False,ffiec_ratio,518.0,333.0,4.0,329.0,115275000.0,1.201,False,329.0,0.11524,0.63514,511.78,"conversion - present, under-capturing",False,False
17119403533,Madison County,IL,metro,4518,130188,False,ffiec_ratio,462.0,318.0,1.0,317.0,78820000.0,0.314,False,317.0,0.07016,0.68615,460.55,"conversion - present, under-capturing",False,False
